timestamp,open,high,low,close
1275350400000,1216.533,1216.542,1216.446,1216.446
1275350460000,1216.51,1216.554,1216.275,1216.554
1275350520000,1216.436,1216.513,1216.132,1216.513
1275350580000,1216.557,1216.987,1216.551,1216.987
1275350640000,1217.304,1217.889,1217.304,1217.703
1275350700000,1217.736,1217.924,1217.512,1217.515
1275350760000,1217.552,1218.465,1217.485,1218.465
1275350820000,1218.415,1218.528,1218.387,1218.409
1275350880000,1218.402,1218.443,1218.112,1218.306
1275350940000,1218.366,1218.533,1218.35,1218.35
1275351000000,1218.5,1218.608,1218.487,1218.535
1275351060000,1218.369,1218.371,1217.999,1217.999
1275351120000,1217.893,1217.91,1217.578,1217.701
1275351180000,1217.742,1218.059,1217.665,1217.71
1275351240000,1217.628,1217.628,1217.255,1217.51
1275351300000,1217.519,1217.908,1217.355,1217.355
1275351360000,1217.298,1217.375,1216.909,1217.072
1275351420000,1217.054,1217.428,1217.054,1217.428
1275351480000,1217.351,1217.351,1216.982,1217.09
1275351540000,1217.21,1217.354,1217.21,1217.308
1275351600000,1217.169,1217.242,1216.769,1217.242
1275351660000,1217.381,1217.391,1217.046,1217.046
1275351720000,1216.825,1216.987,1216.562,1216.987
1275351780000,1217.042,1217.502,1217.035,1217.501
1275351840000,1217.56,1217.756,1217.451,1217.68
1275351900000,1217.851,1217.988,1217.382,1217.988
1275351960000,1218.11,1218.11,1217.722,1217.979
1275352020000,1218.06,1218.422,1218.06,1218.229
1275352080000,1218.401,1218.581,1218.302,1218.581
1275352140000,1218.482,1219.73,1218.264,1219.73
1275352200000,1219.765,1219.765,1219.428,1219.461
1275352260000,1219.615,1219.872,1219.438,1219.763
1275352320000,1219.805,1219.805,1219.387,1219.79
1275352380000,1219.727,1219.771,1219.473,1219.77
1275352440000,1219.711,1219.711,1219.46,1219.663
1275352500000,1219.534,1219.534,1219.022,1219.104
1275352560000,1218.992,1219.614,1218.992,1219.253
1275352620000,1219.174,1219.559,1218.979,1219.559
1275352680000,1219.866,1220.091,1219.779,1219.965
1275352740000,1219.976,1219.986,1219.051,1219.051
1275352800000,1219.255,1219.907,1219.255,1219.907
1275352860000,1219.983,1220.11,1219.841,1220.11
1275352920000,1220.01,1220.01,1219.509,1219.833
1275352980000,1219.855,1220.213,1219.855,1220.213
1275353040000,1220.195,1221.339,1220.195,1221.339
1275353100000,1221.352,1221.658,1221.294,1221.33
1275353160000,1221.363,1221.425,1221.112,1221.303
1275353220000,1221.238,1221.596,1221.188,1221.596
1275353280000,1221.556,1221.556,1221.102,1221.184
1275353340000,1221.443,1222.067,1221.443,1221.95
1275353400000,1221.675,1221.675,1221.33,1221.633
1275353460000,1221.707,1221.904,1221.707,1221.812
1275353520000,1221.546,1221.603,1221.095,1221.095
1275353580000,1221.214,1221.474,1221.214,1221.293
1275353640000,1221.366,1221.498,1221.21,1221.254
1275353700000,1221.401,1221.495,1221.108,1221.495
1275353760000,1221.694,1221.834,1221.207,1221.236
1275353820000,1221.166,1221.751,1221.166,1221.564
1275353880000,1221.286,1221.508,1220.862,1221.315
